City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,San Juan Bautista,PE,2021-09-30 23:11:14,-14.0108,-75.7358,59.63,56,48,8.08
198,Georgetown,MY,2021-09-30 23:11:14,5.4112,100.3354,81.95,90,20,1.01
199,Thinadhoo,MV,2021-09-30 23:11:14,0.5333,72.9333,81.7,71,57,4.43
200,Salinas,US,2021-09-30 23:11:15,36.6777,-121.6555,92.98,37,1,13.8
201,Filadelfia,US,2021-09-30 23:10:11,39.9523,-75.1638,64.98,57,75,1.99
202,Mikun,RU,2021-09-30 23:11:15,62.3547,50.0771,43.63,96,100,3.15
203,Omidiyeh,IR,2021-09-30 23:11:16,30.7597,49.705,78.55,15,0,9.24
204,San Andres,CO,2021-09-30 23:11:16,12.5847,-81.7006,84.22,79,75,6.91
205,Humaita,BR,2021-09-30 23:11:16,-7.5061,-63.0208,80.26,65,87,3.06
206,Nantucket,US,2021-09-30 23:11:17,41.2835,-70.0995,59.97,72,69,11.3
207,Adrar,MR,2021-09-30 23:11:17,20.5022,-10.0711,91.13,11,3,4.76
208,Pilar,BR,2021-09-30 23:11:17,-9.5972,-35.9567,75.13,94,32,5.64
209,Huancavelica,PE,2021-09-30 23:11:18,-12.7667,-74.9833,43.86,65,90,6.33
210,Olafsvik,IS,2021-09-30 23:11:18,64.8945,-23.7142,44.53,77,100,31.61
211,Coihaique,CL,2021-09-30 23:11:18,-45.5752,-72.0662,42.75,61,75,4.61
212,Wajir,KE,2021-09-30 23:11:19,1.7471,40.0573,76.73,69,99,16.08
213,East Stroudsburg,US,2021-09-30 23:11:19,40.9995,-75.1813,61.0,76,36,5.77
214,Vestmannaeyjar,IS,2021-09-30 23:09:59,63.4427,-20.2734,43.27,73,100,18.97
215,Puksoozero,RU,2021-09-30 23:11:20,62.5903,40.6066,45.32,91,100,3.4
216,Conceicao Do Araguaia,BR,2021-09-30 23:11:20,-8.2578,-49.2647,82.18,49,67,2.48
217,Belmonte,BR,2021-09-30 23:11:20,-15.8631,-38.8828,77.5,85,2,9.17
218,Harper,LR,2021-09-30 23:11:21,4.375,-7.7169,77.41,86,55,5.93
219,Hobyo,SO,2021-09-30 23:11:21,5.3505,48.5268,77.95,89,99,18.52
220,Kuloy,RU,2021-09-30 23:11:21,61.0305,42.4925,46.87,93,96,3.94
221,Bantry,IE,2021-09-30 23:11:23,51.6833,-9.45,56.68,89,100,20.69
222,Santa Maria,BR,2021-09-30 23:06:57,-29.6842,-53.8069,66.81,98,100,7.63
223,Manali,IN,2021-09-30 23:11:23,13.1667,80.2667,82.49,75,8,5.59
224,Itarema,BR,2021-09-30 23:11:24,-2.9248,-39.9167,79.3,83,54,10.56
225,Bayji,IQ,2021-09-30 23:11:24,34.9311,43.487,78.71,31,0,7.87
226,Babati,TZ,2021-09-30 23:11:24,-4.2167,35.75,60.58,86,99,1.99
227,Bayan,CN,2021-09-30 23:11:25,46.0833,127.4,44.01,76,48,7.34
228,Opuwo,NA,2021-09-30 23:11:25,-18.0607,13.84,66.06,24,0,4.99
229,Sokolka,PL,2021-09-30 23:11:29,53.4072,23.5023,46.65,97,100,2.62
230,San Jose,US,2021-09-30 23:11:16,37.3394,-121.895,92.88,19,1,4.0
231,Black River,JM,2021-09-30 23:11:29,18.0264,-77.8487,85.98,74,35,3.8
232,Jalu,LY,2021-09-30 23:11:30,29.0331,21.5482,74.64,62,22,9.93
233,Chapais,CA,2021-09-30 23:11:30,49.7834,-74.8492,47.79,66,99,4.52
234,Manta,EC,2021-09-30 23:11:30,-0.95,-80.7333,78.58,69,0,10.36
235,Awjilah,LY,2021-09-30 23:11:31,29.1081,21.2869,74.57,64,14,9.62
236,Czarnkow,PL,2021-09-30 23:11:31,52.9021,16.5641,48.25,73,19,6.55
237,Libenge,CD,2021-09-30 23:11:31,3.65,18.6333,70.92,98,100,1.74
238,Feijo,BR,2021-09-30 23:11:32,-8.1642,-70.3536,77.97,76,99,2.46
239,Necochea,AR,2021-09-30 23:11:32,-38.5473,-58.7368,53.04,91,43,9.35
240,Pivijay,CO,2021-09-30 23:11:32,10.4617,-74.6162,78.89,87,100,4.72
241,Nieuw Amsterdam,SR,2021-09-30 23:11:33,5.8833,-55.0833,84.22,74,0,8.05
242,Antalaha,MG,2021-09-30 23:11:33,-14.9003,50.2788,68.18,83,24,5.79
243,Mari-Turek,RU,2021-09-30 23:11:34,56.7895,49.6235,44.94,93,100,5.57
244,Mormugao,IN,2021-09-30 23:11:34,15.4,73.8,76.26,94,40,2.3
245,Gogrial,SS,2021-09-30 23:11:34,8.5332,28.1004,74.77,75,66,2.75
246,Agen,FR,2021-09-30 23:11:35,44.2,0.6333,60.51,93,0,3.44
247,Abapo,BO,2021-09-30 23:11:35,-18.8333,-63.4667,89.17,28,0,12.12
248,Solihull,GB,2021-09-30 23:11:36,52.4143,-1.7809,59.18,96,75,3.0
249,Lulea,SE,2021-09-30 23:11:36,65.5842,22.1547,48.27,87,90,6.91
250,Bengkulu,ID,2021-09-30 23:11:36,-3.8004,102.2655,74.17,88,100,3.8
251,Honningsvag,NO,2021-09-30 23:07:42,70.9821,25.9704,46.22,77,13,15.17
252,Petrov Val,RU,2021-09-30 23:11:37,50.1434,45.2096,47.91,49,100,1.03
253,Araouane,ML,2021-09-30 23:11:37,18.9048,-3.5265,90.81,36,66,14.29
254,Troy,US,2021-09-30 23:11:37,42.6056,-83.1499,69.75,64,1,0.0
255,Gao,ML,2021-09-30 23:11:38,16.6362,1.637,85.37,43,69,2.93
256,Gamba,GA,2021-09-30 23:06:45,-2.65,10.0,75.47,86,93,7.72
257,Acajutla,SV,2021-09-30 23:11:38,13.5928,-89.8275,91.74,78,20,5.32
258,Chirongui,YT,2021-09-30 23:11:39,-12.9319,45.1483,75.13,78,6,3.02
259,Snasa,NO,2021-09-30 23:11:39,64.2457,12.3778,48.96,81,72,14.5
260,Manitouwadge,CA,2021-09-30 23:11:40,49.1215,-85.8403,57.92,69,93,4.81
261,Harnosand,SE,2021-09-30 23:11:40,62.6323,17.9379,48.99,91,100,20.18
262,Piranhas,BR,2021-09-30 23:11:40,-16.4269,-51.8222,86.47,40,51,3.04
263,Irbit,RU,2021-09-30 23:11:41,57.6705,63.071,41.83,86,100,11.56
264,Uddevalla,SE,2021-09-30 23:07:01,58.3478,11.9424,52.18,97,91,7.54
265,Shakawe,BW,2021-09-30 23:11:41,-18.3667,21.85,76.59,26,65,4.5
266,Malinovoye Ozero,RU,2021-09-30 23:11:41,51.6753,79.7825,38.77,82,82,9.15
267,Pemba,MZ,2021-09-30 23:11:42,-12.974,40.5178,76.59,82,15,5.57
268,Saint-Paul,RE,2021-09-30 23:11:42,-21.0096,55.2707,71.69,78,13,1.19
269,Coquimbo,CL,2021-09-30 23:11:43,-29.9533,-71.3436,56.93,82,0,9.22
270,Vestmanna,FO,2021-09-30 23:11:43,62.1564,-7.1664,47.32,100,75,14.97
271,Padang,ID,2021-09-30 23:11:43,-0.9492,100.3543,75.94,82,100,2.73
272,Mus,TR,2021-09-30 23:11:44,39.0,41.75,55.08,40,54,2.17
273,Ushtobe,KZ,2021-09-30 23:09:37,45.2514,77.9838,49.87,61,100,13.42
274,Shiraz,IR,2021-09-30 23:11:44,29.6036,52.5388,72.84,14,0,0.0
275,Yayva,RU,2021-09-30 23:11:44,59.3303,57.2641,46.18,98,100,4.54
276,Keuruu,FI,2021-09-30 23:11:45,62.2667,24.7,44.78,79,100,6.55
277,Khromtau,KZ,2021-09-30 23:11:45,50.2503,58.4347,36.48,60,29,8.03
278,Serowe,BW,2021-09-30 23:11:45,-22.3833,26.7167,65.57,64,76,13.24
279,San Joaquin,US,2021-09-30 23:11:46,37.9333,-121.3011,90.68,20,1,5.75
280,Geraldton,AU,2021-09-30 23:11:46,-28.7667,114.6,66.61,88,75,12.66
281,Sao Sebastiao,BR,2021-09-30 23:11:46,-23.76,-45.4097,68.58,91,97,5.59
282,Makushino,RU,2021-09-30 23:11:47,55.2103,67.2442,33.06,64,48,9.98
283,Saint-Georges,GD,2021-09-30 23:11:47,12.0564,-61.7485,83.88,79,20,9.22
284,Leh,IN,2021-09-30 23:09:22,34.1667,77.5833,54.64,37,0,3.8
